county_fips_full,county_name,state,year,period,value,chg1,yoy,index_base100,freq,metric,source
05055,Greene,AR,2024,2024-12-31,285.43,0.02965260993470653,0.02965260993470653,285.43,A,hpi,hpi_at_county.csv
05057,Hempstead,AR,2024,2024-12-31,235.18,0.15205251298128752,0.15205251298128752,235.17999999999998,A,hpi,hpi_at_county.csv
05059,Hot Spring,AR,2024,2024-12-31,263.95,0.20409652844304538,0.20409652844304538,263.95,A,hpi,hpi_at_county.csv
05061,Howard,AR,2024,2024-12-31,209.32,-0.11267486222975842,-0.11267486222975842,209.32,A,hpi,hpi_at_county.csv
05063,Independence,AR,2024,2024-12-31,295.24,0.09412985472872837,0.09412985472872837,315.3936545240893,A,hpi,hpi_at_county.csv
05065,Izard,AR,2024,2024-12-31,220.49,-0.048299378453038666,-0.048299378453038666,220.49000000000004,A,hpi,hpi_at_county.csv
05067,Jackson,AR,2024,2024-12-31,191.79,0.00031294007197613105,0.00031294007197613105,191.79,A,hpi,hpi_at_county.csv
05069,Jefferson,AR,2024,2024-12-31,356.33,0.013943032751899231,0.013943032751899231,228.91558524990364,A,hpi,hpi_at_county.csv
05071,Johnson,AR,2024,2024-12-31,232.58,0.05073413146600414,0.05073413146600414,232.58,A,hpi,hpi_at_county.csv
05075,Lawrence,AR,2024,2024-12-31,215.54,0.07883277441313385,0.07883277441313385,215.53999999999996,A,hpi,hpi_at_county.csv
05079,Lincoln,AR,2024,2024-12-31,187.77,-0.06600676482292067,-0.06600676482292067,187.77,A,hpi,hpi_at_county.csv
05081,Little River,AR,2024,2024-12-31,203.65,0.037284164417052956,0.037284164417052956,203.65000000000003,A,hpi,hpi_at_county.csv
05083,Logan,AR,2024,2024-12-31,237.46,0.0584826602478381,0.0584826602478381,237.46,A,hpi,hpi_at_county.csv
05085,Lonoke,AR,2024,2024-12-31,327.43,0.041642807151492045,0.041642807151492045,257.53500078653457,A,hpi,hpi_at_county.csv
05087,Madison,AR,2024,2024-12-31,253.3,0.03986206330309128,0.03986206330309128,253.29999999999998,A,hpi,hpi_at_county.csv
05089,Marion,AR,2024,2024-12-31,258.29,0.12295117603582462,0.12295117603582462,258.29,A,hpi,hpi_at_county.csv
05091,Miller,AR,2024,2024-12-31,276.95,0.037965669739899566,0.037965669739899566,276.95,A,hpi,hpi_at_county.csv
05093,Mississippi,AR,2024,2024-12-31,362.64,0.14770389593948785,0.14770389593948785,246.20816077126756,A,hpi,hpi_at_county.csv
05103,Ouachita,AR,2024,2024-12-31,240.36,-0.04755111745126006,-0.04755111745126006,254.32229393714948,A,hpi,hpi_at_county.csv
05105,Perry,AR,2024,2024-12-31,188.56,0.24363540430022423,0.24363540430022423,188.56,A,hpi,hpi_at_county.csv
