GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,SEA,UATYPE,PLACDESC,CBD,INDSUBR,LONGITUD,LATITUDE,LANDAREA,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C8J001,C8O001
"G2801310","1980","A","3","6","Mississippi","28","0920","Stone","131",,,,,,,,,,,,,"07",,,,,,,,"STONE COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1",25700,103
"G2801330","1980","A","3","6","Mississippi","28",,"Sunflower","133",,,,,,,,,,,,,"01",,,,,,,,"SUNFLOWER COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",25400,65
"G2801350","1980","A","3","6","Mississippi","28",,"Tallahatchie","135",,,,,,,,,,,,,"01",,,,,,,,"TALLAHATCHIE COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",21000,49
"G2801370","1980","A","3","6","Mississippi","28",,"Tate","137",,,,,,,,,,,,,"02",,,,,,,,"TATE COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0",32300,94
"G2801390","1980","A","3","6","Mississippi","28",,"Tippah","139",,,,,,,,,,,,,"04",,,,,,,,"TIPPAH COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",23200,78
"G2801410","1980","A","3","6","Mississippi","28",,"Tishomingo","141",,,,,,,,,,,,,"04",,,,,,,,"TISHOMINGO COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",27400,112
"G2801430","1980","A","3","6","Mississippi","28",,"Tunica","143",,,,,,,,,,,,,"01",,,,,,,,"TUNICA COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","1",25000,54
"G2801450","1980","A","3","6","Mississippi","28",,"Union","145",,,,,,,,,,,,,"04",,,,,,,,"UNION COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1",28400,81
"G2801470","1980","A","3","6","Mississippi","28",,"Walthall","147",,,,,,,,,,,,,"06",,,,,,,,"WALTHALL COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0",25700,80
"G2801490","1980","A","3","6","Mississippi","28",,"Warren","149",,,,,,,,,,,,,"03",,,,,,,,"WARREN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",35900,112
"G2801510","1980","A","3","6","Mississippi","28",,"Washington","151",,,,,,,,,,,,,"01",,,,,,,,"WASHINGTON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",26200,93
"G2801530","1980","A","3","6","Mississippi","28",,"Wayne","153",,,,,,,,,,,,,"06",,,,,,,,"WAYNE COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",24200,76
"G2801550","1980","A","3","6","Mississippi","28",,"Webster","155",,,,,,,,,,,,,"06",,,,,,,,"WEBSTER COUNTY","0","0","0","1","1","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0",26100,73
"G2801570","1980","A","3","6","Mississippi","28",,"Wilkinson","157",,,,,,,,,,,,,"03",,,,,,,,"WILKINSON COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","1","1","0","0","0","0","1","0",21100,49
"G2801590","1980","A","3","6","Mississippi","28",,"Winston","159",,,,,,,,,,,,,"06",,,,,,,,"WINSTON COUNTY","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0",27900,73
"G2801610","1980","A","3","6","Mississippi","28",,"Yalobusha","161",,,,,,,,,,,,,"02",,,,,,,,"YALOBUSHA COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1",23400,72
